year,fragrantica,parfumo,aromo
1995,204,422,338
1996,225,415,368
1997,261,522,428
1998,275,475,400
1999,319,538,499
2000,1234,705,1368
2001,406,598,582
2002,398,569,553
2003,571,646,732
2004,628,1030,1013
2005,713,985,1060
2006,952,1351,1357
2007,1214,1635,1729
2008,1554,1909,2159
2009,1653,1998,2312
2010,2388,2435,3147
2011,2183,2724,3257
2012,2737,3683,4244
2013,2978,4008,4352
2014,3648,4570,5545
2015,4257,5017,6102
2016,4402,5518,6511
2017,4869,5749,6639
2018,5351,6253,7262
2019,5823,6200,7149
2020,7066,5479,6142
2021,6443,5718,7200
2022,7238,6469,8105
2023,8168,7648,9576
2024,10507,10585,12915
2025,11901,12013,15704
